Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am wind direction,9am wind speed (km/h),3pm Temperature (°C),3pm relative humidity (%),3pm wind direction,3pm wind speed (km/h)
23/9/2019,11.9,23.3,0.2,NNW,44,12:52,17.9,36,NW,17,22.4,20,SW,19
24/9/2019,7.2,22.1,0,ESE,28,18:58,14.6,37,WNW,7,21.3,22,NNW,11
25/9/2019,6.9,,0,E,37,17:09,16.7,52,W,4,21.5,33,NE,13
26/9/2019,11.7,,0,ESE,41,17:01,17.2,71,ESE,17,23.9,32,NNE,9
27/9/2019,10.9,,0,NW,48,14:24,17.9,69,NW,6,,,NW,33
28/9/2019,12.6,26.7,0,E,39,15:38,21,25,NW,9,21.3,46,ESE,26
29/9/2019,7.9,24.6,0,E,35,17:29,16.6,58,NNW,4,24,32,NNE,9
30/9/2019,12,21.7,0,SE,52,15:07,17.7,66,ESE,13,19.4,54,SE,28
1/10/2019,12.1,23,0,ESE,37,18:50,18.4,54,E,13,22.1,39,E,13
2/10/2019,8.7,27.9,0,E,31,17:54,17.4,62,NNW,7,26.9,26,NE,4
3/10/2019,11.8,30.7,0,W,33,13:25,20.6,43,NW,7,29.6,18,NE,13
4/10/2019,14.3,33.8,0,NW,61,13:06,25.6,24,NNW,20,32.3,13,WSW,13
5/10/2019,16.3,21.5,0,ESE,31,15:23,17.1,83,ENE,9,19.8,64,ESE,17
6/10/2019,13.5,28.8,0,NNE,28,13:35,15.4,80,W,11,26.9,40,NNE,13
7/10/2019,15.3,32.4,0,E,43,13:34,24.4,46, ,Calm,27.9,46,E,28
8/10/2019,13.9,27.1,0,SW,61,16:39,17.4,87,WNW,6,25.2,20,NW,33
9/10/2019,8.3,21.7,0,E,41,17:15,13.6,49,S,19,20.4,28,SSW,15
10/10/2019,9.2,22.1,0,SE,39,15:17,15,57,S,19,20.3,36,ENE,11
11/10/2019,10.4,21.2,0,SE,43,13:15,14.8,71,S,6,19,47,SE,24
12/10/2019,11.4,17.1,0,SE,44,13:48,14.8,66,ESE,24,14.7,66,ESE,22
13/10/2019,10.7,21.4,0.2,E,31,16:41,14.9,64,S,6,20.4,44,ENE,7
14/10/2019,9.3,27.6,0,E,37,18:23,15.5,64,SE,2,25.3,26,N,9
15/10/2019,11.9,32.2,0,ESE,39,16:30,19.5,56,SE,6,31.3,21,N,11
16/10/2019,14.1,33.1,0,ESE,37,16:33,21.6,61,E,7,31,33,NE,19
17/10/2019,15.3,31.9,0,NW,69,14:51,20.3,74,NW,13,30.1,9,WNW,41
18/10/2019,9.1,28.3,0.2,NW,41,17:25,16.6,30,NW,17,26.5,14,N,15
19/10/2019,11.1,30.2,0,SW,54,19:56,19.1,22,WNW,7,29.2,8,WNW,28
20/10/2019,11.9,24.4,0,E,48,9:12,17.3,28,S,22,23.3,18,ESE,11
21/10/2019,10.1,26.6,0,ESE,37,16:24,18.7,55,ENE,9,25.7,29,NE,9
22/10/2019,10.7,29.4,0,SE,33,20:14,18.3,57,SSE,4,28,22,E,13
23/10/2019,14.4,33.2,0,ESE,35,17:52,20.3,64,E,4,32,16,E,13
24/10/2019,17.2,33.7,0,WSW,56,12:05,24.3,36,WNW,6,31.4,14,W,4
25/10/2019,16.8,36.2,0,N,54,14:20,26.5,26,WNW,19,33.9,12,NNW,26
26/10/2019,24.1,33,0,NNW,96,12:26,28.8,20,NNW,37,29.3,26,NW,50
27/10/2019,9.8,27.5,0,E,46,17:23,18.7,24,SSW,9,25.7,11,NW,19
28/10/2019,13.4,26.3,0,ESE,44,17:23,19.4,52,S,9,25.1,36,ESE,24
29/10/2019,12.4,30.3,0,ESE,37,17:09,17.8,68,S,6,28.5,20,S,7
30/10/2019,14.9,32.1,0,ESE,28,16:51,21.3,57,ESE,2,30.9,19,NNW,13
31/10/2019,16.6,33.8,0,E,43,15:30,23.4,46,NW,4,32.7,21,E,22
1/11/2019,13.9,33.7,0,ESE,43,16:31,21.5,60,SE,2,32.7,21,ENE,9
